Date,Revenue,Profit,Risk_Score,is_predicted
2020-01-01,101653.31767148638,20163.714215030883,50.0,False
2020-02-01,98481.49305268994,20528.844286091018,51.65896132693415,False
2020-03-01,104584.32937524024,20168.87661469461,53.271946967961526,False
2020-04-01,102495.0966455206,19688.93665633609,54.79425538604203,False
2020-05-01,104032.25800455431,20276.363158045166,56.18369803069737,False
2020-06-01,103962.50341916693,21574.888291655476,57.40176853196037,False
2020-07-01,105210.38168268239,20651.502620846804,58.414709848078964,False
2020-08-01,108627.53096645782,21274.679039242445,59.194449792537554,False
2020-09-01,108757.76408570205,21234.29488396946,59.71937901363313,False
2020-10-01,110611.73121958645,23286.785200001454,59.97494986604055,False
2020-11-01,109322.40793758343,20091.501452440036,59.954079577517646,False
2020-12-01,111233.33676279127,21970.595316537747,59.657346537574995,False
2021-01-01,109782.45477111841,23287.85605158647,59.09297426825682,False
2021-02-01,113461.99043228241,21221.61597124945,58.2766035212596,False
2021-03-01,112233.00402487945,23071.937674573102,57.23085881738324,False
2021-04-01,116380.9033015695,23944.98403687144,55.98472144103957,False
2021-05-01,117791.4942977782,22557.37075016259,54.57272626635812,False
2021-06-01,116902.84495748072,23954.390962918944,53.03400467367856,False
2021-07-01,117454.0585408967,23339.680009253327,51.411200080598675,False
2021-08-01,116493.84034603347,23782.601379670832,49.74928614204831,False
2021-09-01,119458.94930481185,23567.31564505349,48.094320371245146,False
2021-10-01,123791.08651820224,23346.826586438623,46.492167723103805,False
2021-11-01,122479.77987598526,24630.85568648121,44.98722951411655,False
2021-12-01,123361.49116250713,24550.001828721557,43.62121290483148,False
2022-01-01,121927.5338547094,25752.987702624105,42.43197504692072,False
2022-02-01,120854.96449103105,25283.115482803452,41.4524739276116,False
2022-03-01,126049.20401843781,25777.922508844233,40.70985498729238,False
2022-04-01,125842.22341247341,25629.11797504151,40.22469882334903,False
2022-05-01,126512.7596212746,25384.384004028314,40.01045082902072,False
2022-06-01,126347.8227331294,25254.887065968258,40.07304857399847,False
2022-07-01,131354.9262982039,25581.690230457767,40.410757253368615,False
2022-08-01,131847.4155543901,25510.11038845395,41.014217765192704,False
2022-09-01,133080.60730715079,26208.045229983087,41.8667060843242,False
2022-10-01,136383.18427117486,25378.66163744432,42.94459674429608,False
2022-11-01,130864.48341416781,27804.674342693485,44.21801758255691,False
2022-12-01,136319.43407683013,27917.646199401333,45.65167760374923,False
2023-01-01,140813.83754224546,26469.730842408713,47.20584501801074,False
2023-02-01,138186.4982922086,27139.42257815131,48.837448349397704,False
2023-03-01,137963.89865226773,26782.537629387818,50.50127009882173,False
2023-04-01,139255.67594065604,27527.293901700916,52.15119988087815,False
2023-05-01,138051.07970266885,28439.716707574327,53.7415123057122,False
2023-06-01,140482.34909953145,28849.104107781535,55.228134191296796,False
2023-07-01,141530.02221134197,29862.699275630002,56.56986598718789,False
2023-08-01,142345.2690657474,30502.205493239035,57.72952355978483,False
2023-09-01,141901.84089626622,29485.80339047735,58.67496869618806,False
2023-10-01,149144.76877123144,28962.459942545676,59.37999976774739,False
2023-11-01,145414.50709246553,30660.68736896006,59.82507786986373,False
2023-12-01,148220.51433303903,27918.593587782496,59.99786831414221,False
2024-01-01,149524.92829972852,29833.10939250631,59.893582466233816,False
2024-02-01,150696.04041351698,29682.3967812678,59.51511045583001,False
2024-03-01,151564.84376358174,30907.184371107112,58.872941080946944,False
2024-04-01,146517.71158431124,29845.755007342108,57.9848711262349,False
2024-05-01,153544.80993441874,31358.51469684327,56.875512151130614,False
2024-06-01,156670.89085696798,30454.96248439147,55.57560841649729,False
2024-07-01,154839.71277145113,31456.723195129784,54.121184852417564,False
2024-08-01,157625.38466981234,30563.3202111111,52.55254867996518,False
2024-09-01,155769.41947930324,30881.775089855186,50.913172355547495,False
2024-10-01,156707.7309153024,31426.566471061597,49.24848879538191,False
2024-11-01,155176.19292894984,32297.340597974548,47.60463226869684,False
2024-12-01,157216.7999792958,30892.11794913225,46.02715985396038,False
